2026-04-22 16:47:45,981 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
2026-04-22 16:47:45,994 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,994 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,994 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,994 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,995 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
2026-04-22 16:47:45,997 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
2026-04-22 16:47:45,997 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
2026-04-22 16:47:46,007 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:46,007 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:46,007 [ALLOW] UDP 52.222.132.8 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:46,007 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
2026-04-22 16:47:46,019 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:46,076 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:52,074 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,074 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,074 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 18.134.215.41 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 18.134.215.41 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 18.134.215.41 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,109 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,117 [ALLOW] TCP 18.134.215.41 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:52,118 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:52,659 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:52,707 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:52,708 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
